# Time-averaged data for fix savg
# TimeStep v_gamma c_myP[1] c_myP[2] c_myP[4]
100 5.05e-06 331.082 734.414 70.9296
200 1.505e-05 294.528 490.127 -3.10298
300 2.505e-05 322.557 480.524 23.5281
400 3.505e-05 372.852 536.501 180.658
500 4.505e-05 247.971 604.285 75.678
600 5.505e-05 311.56 510.802 -17.9208
700 6.505e-05 315.378 359.641 -42.8346
800 7.505e-05 437.086 705.791 101.487
900 8.505e-05 328.591 536.211 -5.92783
1000 9.505e-05 217.119 597.315 -23.6613
1100 0.00010505 262.648 326.681 -68.4541
1200 0.00011505 426.975 590.554 55.7186
1300 0.00012505 230.582 483.514 109.388
1400 0.00013505 184.01 661.856 59.5014
1500 0.00014505 371.797 538.078 -71.5501
1600 0.00015505 399.443 561.4 35.6123
1700 0.00016505 270.541 335.439 112.996
1800 0.00017505 217.362 626.632 102.318
1900 0.00018505 422.496 644.246 -10.8102
2000 0.00019505 501.897 525.711 8.80758
2100 0.00020505 322.595 417.92 51.5915
2200 0.00021505 263.859 511.575 85.3907
2300 0.00022505 307.04 564.712 -6.42135
2400 0.00023505 362.531 405.527 -72.6254
2500 0.00024505 533.208 441.633 1.38216
2600 0.00025505 371.001 614.87 -20.4278
2700 0.00026505 411.892 688.849 46.2906
2800 0.00027505 333.473 438.176 -119.402
2900 0.00028505 418.761 424.721 -83.7705
3000 0.00029505 414.094 529.104 -117.614
3100 0.00030505 409.891 640.397 -35.8965
3200 0.00031505 273.204 443.524 -127.283
3300 0.00032505 261.022 451.002 -40.64
3400 0.00033505 321.962 355.345 -84.7937
3500 0.00034505 269.347 546.49 -37.792
3600 0.00035505 204.389 453.013 -54.4898
3700 0.00036505 253.915 551.989 -40.161
3800 0.00037505 491.54 388.221 -75.2802
3900 0.00038505 233.112 532.057 -4.84975
4000 0.00039505 158.088 288.388 -15.7672
4100 0.00040505 149.83 540.751 -46.3989
4200 0.00041505 532.444 331.404 -65.0044
4300 0.00042505 215.013 399.613 -90.4875
4400 0.00043505 160.557 336.91 -15.5895
4500 0.00044505 89.8281 417.493 -154.266
4600 0.00045505 267.967 348.858 -13.3281
4700 0.00046505 23.1217 112.414 -63.7809
4800 0.00047505 147.911 298.506 -50.661
4900 0.00048505 173.736 581.228 -127.533
5000 0.00049505 154.701 410.941 -37.8957
5100 0.00050505 40.6916 68.9278 -54.1854
5200 0.00051505 89.4911 353.507 -51.8734
5300 0.00052505 76.8021 444.292 -74.1411
5400 0.00053505 66.5929 451.675 -80.8262
5500 0.00054505 55.6978 212.936 -13.37
5600 0.00055505 217.78 353.088 18.2187
5700 0.00056505 148.427 338.857 -13.1138
5800 0.00057505 -106.428 405.103 -78.6193
5900 0.00058505 147.467 390.74 57.3302
6000 0.00059505 303.369 558.974 -54.9502
6100 0.00060505 371.021 510.014 34.6713
6200 0.00061505 44.3201 545.525 -87.1949
6300 0.00062505 324.167 555.734 -13.7296
6400 0.00063505 293.685 634.142 -48.8208
6500 0.00064505 570.214 564.326 -33.5926
6600 0.00065505 125.808 579.477 -176.852
6700 0.00066505 300.039 668.205 -113.877
6800 0.00067505 320.914 748.533 -153.313
6900 0.00068505 514.08 594.073 -66.3587
7000 0.00069505 228.481 668.99 -242.597
7100 0.00070505 430.355 794.304 -107.558
7200 0.00071505 394.921 818.74 -148.752
7300 0.00072505 463.185 618.887 -60.4195
7400 0.00073505 454.523 601.885 -127.678
7500 0.00074505 418.264 772.862 -154.166
7600 0.00075505 454.126 879.516 -133.59
7700 0.00076505 395.783 631.523 -110.024
7800 0.00077505 492.452 693.69 -58.743
7900 0.00078505 498.441 830.154 -206.901
8000 0.00079505 511.783 905.389 -130.311
8100 0.00080505 270.073 569.888 -154.367
8200 0.00081505 496.61 657.227 -156.27
8300 0.00082505 519.386 771.753 -225.643
8400 0.00083505 514.363 945.988 -160.808
8500 0.00084505 319.848 654.7 -202.184
8600 0.00085505 514.395 858.696 -99.0175
8700 0.00086505 475.412 699.024 -189.802
8800 0.00087505 396.582 696.665 -147.389
8900 0.00088505 178.677 596.624 -180.566
9000 0.00089505 580.61 821.269 -84.1237
9100 0.00090505 445.014 545.747 -146.864
9200 0.00091505 378.065 503.519 -188.148
9300 0.00092505 228.541 489.618 -182.3
9400 0.00093505 438.923 689.797 -140.942
9500 0.00094505 350.445 499.702 -27.649
9600 0.00095505 365.001 477.166 -106.688
9700 0.00096505 315.012 570.465 -63.4119
9800 0.00097505 468.392 674.306 -87.3804
9900 0.00098505 325.157 443.994 -21.4149
10000 0.00099505 207.359 301.114 -149.838
10100 0.00100505 395.061 433.606 -151.662
10200 0.00101505 372.358 641.304 -179.569
10300 0.00102505 278.038 450.425 -101.051
10400 0.00103505 257.856 373.326 -129.119
10500 0.00104505 484.352 601.095 -214.702
10600 0.00105505 347.7 501.593 -220.416
10700 0.00106505 203.44 396.125 -239.921
10800 0.00107505 283.429 408.148 -106.758
10900 0.00108505 518.613 600.639 -186.032
11000 0.00109505 373.766 430.64 -174.858
11100 0.00110505 203.525 398.587 -217.624
11200 0.00111505 315.987 450.654 -98.1583
11300 0.00112505 366.411 426.74 -134.293
11400 0.00113505 310.203 323.57 -186.384
11500 0.00114505 269.851 434.037 -248.947
11600 0.00115505 425.957 508.986 -231.083
11700 0.00116505 427.404 505.199 -169.292
11800 0.00117505 417.925 206.503 -194.342
11900 0.00118505 219.695 456.776 -260.765
12000 0.00119505 364.356 524.721 -272.144
12100 0.00120505 353.389 439.657 -220.125
12200 0.00121505 277.026 280.786 -291.059
12300 0.00122505 277.508 374.345 -290.355
12400 0.00123505 334.722 538.266 -356.496
12500 0.00124505 214.439 376.583 -278.933
12600 0.00125505 235.991 299.775 -292.115
12700 0.00126505 458.448 415.034 -260.139
12800 0.00127505 190.408 469.606 -373.313
12900 0.00128505 89.0524 262.602 -285.037
13000 0.00129505 148.468 280.751 -234.558
13100 0.00130505 382.779 195.453 -189.223
13200 0.00131505 143.229 376.472 -268.89
13300 0.00132505 125.482 199.798 -261
13400 0.00133505 131.747 427.678 -210.355
13500 0.00134505 422.718 245.315 -102.85
13600 0.00135505 147.762 288.329 -169.275
13700 0.00136505 45.7788 133.011 -336.005
13800 0.00137505 71.8693 417.527 -274.603
13900 0.00138505 308.95 328.754 -225.77
14000 0.00139505 95.9581 250.434 -173.927
14100 0.00140505 130.506 195.803 -315.409
14200 0.00141505 175.055 492.6 -250.069
14300 0.00142505 195.916 311.541 -274.577
14400 0.00143505 -17.3405 280.052 -121.736
14500 0.00144505 252.284 272.687 -342.152
14600 0.00145505 250.062 609.175 -254.698
14700 0.00146505 104.3 385.695 -328.369
14800 0.00147505 25.6607 312.725 -131.186
14900 0.00148505 259.665 368.243 -247.31
15000 0.00149505 258.751 580.792 -227.07
15100 0.00150505 40.6613 492.472 -231.606
15200 0.00151505 211.623 402.917 -231.967
15300 0.00152505 483.788 667.278 -198.425
15400 0.00153505 370.164 603.361 -266.336
15500 0.00154505 104.13 679.908 -258.734
15600 0.00155505 339.311 558.126 -311.322
15700 0.00156505 492.659 781.536 -259.668
15800 0.00157505 398.934 642.751 -301.001
15900 0.00158505 233.93 739.905 -302.068
16000 0.00159505 349.391 746.287 -475.844
16100 0.00160505 576.544 989.016 -276.745
16200 0.00161505 388.682 614.168 -380.87
16300 0.00162505 243.654 654.406 -332.628
16400 0.00163505 374.112 810.029 -483.379
16500 0.00164505 522.812 870.24 -374.794
16600 0.00165505 368.88 630.078 -332.53
16700 0.00166505 391.254 611.543 -328.844
16800 0.00167505 500.895 982.79 -380.099
16900 0.00168505 470.464 899.881 -348.397
17000 0.00169505 279.521 610.035 -297.664
17100 0.00170505 479.952 690.127 -307.009
17200 0.00171505 485.486 843.113 -322.109
17300 0.00172505 346.57 825.785 -394.715
17400 0.00173505 241.679 582.03 -310.173
17500 0.00174505 452.173 711.519 -340.656
17600 0.00175505 498.696 748.028 -339.001
17700 0.00176505 310.209 711.229 -424.854
17800 0.00177505 193.365 569.885 -438.04
17900 0.00178505 481.339 669.598 -352.383
18000 0.00179505 489.298 694.061 -273.035
18100 0.00180505 289.998 635.25 -311.744
18200 0.00181505 211.559 561.814 -378.197
18300 0.00182505 553.748 689.045 -344.82
18400 0.00183505 383.468 508.658 -297.387
18500 0.00184505 82.1453 371.815 -304.554
18600 0.00185505 186.489 422.646 -397.089
18700 0.00186505 398.242 671.583 -350.311
18800 0.00187505 384.859 382.708 -346.846
18900 0.00188505 219.675 414.47 -257.853
19000 0.00189505 304.846 651.424 -295.608
19100 0.00190505 367.91 607.923 -267.989
19200 0.00191505 301.153 377.513 -338.012
19300 0.00192505 285.231 357.641 -249.045
19400 0.00193505 403.982 672.715 -298.784
19500 0.00194505 377.874 629.471 -280.984
19600 0.00195505 311.076 448.779 -415.545
19700 0.00196505 290.087 270.823 -325.189
19800 0.00197505 381.461 543.809 -428.249
19900 0.00198505 196.519 430.946 -377.635
20000 0.00199505 166.638 421.672 -458.936
20100 0.00200505 365.458 380.122 -427.503
20200 0.00201505 580.969 621.026 -436.404
20300 0.00202505 270.553 365.759 -409.498
20400 0.00203505 100.796 392.303 -420.835
20500 0.00204505 425.013 330.411 -462.469
20600 0.00205505 505.499 502.925 -392.843
20700 0.00206505 288.784 261.538 -465.146
20800 0.00207505 220.798 502.16 -371.877
20900 0.00208505 429.537 445.341 -442.023
21000 0.00209505 340.051 457.065 -426.994
21100 0.00210505 161.079 165.659 -477.471
21200 0.00211505 134.806 433.286 -417.277
21300 0.00212505 329.772 512.657 -433.474
21400 0.00213505 327.947 420.291 -484.629
21500 0.00214505 247.504 205.819 -526.394
21600 0.00215505 228.008 478.751 -530.236
21700 0.00216505 239.68 459.502 -441.061
21800 0.00217505 288.584 370.06 -488.9
21900 0.00218505 272.524 336.906 -428.962
22000 0.00219505 339.332 392.871 -484.788
22100 0.00220505 182.849 476.067 -381.343
22200 0.00221505 10.1081 247.054 -439.133
22300 0.00222505 178.872 248.148 -467.623
22400 0.00223505 296.713 342.882 -469.036
22500 0.00224505 253.179 470.834 -350.086
22600 0.00225505 43.2429 218.133 -436.664
22700 0.00226505 68.9317 404.285 -385.535
22800 0.00227505 273.018 343.461 -386.427
22900 0.00228505 247.61 446.961 -259.807
23000 0.00229505 112.146 322.819 -369.812
23100 0.00230505 143.083 536.227 -344.285
23200 0.00231505 256.394 308.611 -474.162
23300 0.00232505 9.20436 252.448 -325.481
23400 0.00233505 111.698 200.052 -394.55
23500 0.00234505 84.6298 619.847 -389.844
23600 0.00235505 229.113 520.456 -494.521
23700 0.00236505 215.268 376.499 -475.778
23800 0.00237505 291.023 393.808 -407.004
23900 0.00238505 138.44 609.027 -380.417
24000 0.00239505 302.51 590.165 -420.234
24100 0.00240505 231.734 514.19 -526.051
24200 0.00241505 411.753 527.715 -418.039
24300 0.00242505 296.616 772.709 -385.693
24400 0.00243505 278.041 740.992 -408.914
24500 0.00244505 175.179 558.865 -465.173
24600 0.00245505 454.134 615.239 -471.451
24700 0.00246505 466.223 837.079 -482.432
24800 0.00247505 392.189 888.674 -477.872
24900 0.00248505 216.218 643.789 -493.679
25000 0.00249505 458.99 694.793 -524.934
25100 0.00250505 476.595 761.706 -505.969
25200 0.00251505 315.431 726.76 -519.066
25300 0.00252505 367.408 769.844 -488.941
25400 0.00253505 470.184 872.228 -607.8
25500 0.00254505 395.818 675.494 -531.711
25600 0.00255505 292.527 629.755 -597.985
25700 0.00256505 329.004 861.541 -495.361
25800 0.00257505 445.773 919.617 -599.39
25900 0.00258505 507.079 654.507 -548.758
26000 0.00259505 377.167 642.78 -627.255
26100 0.00260505 478.282 709.374 -524.798
26200 0.00261505 451.068 811.323 -585.391
26300 0.00262505 465.328 724.087 -516.759
26400 0.00263505 486.214 684.851 -590.933
26500 0.00264505 544.557 851.118 -470.241
26600 0.00265505 585.571 945.379 -527.767
26700 0.00266505 306.772 747.866 -477.622
26800 0.00267505 358.395 621.007 -498.09
26900 0.00268505 403.952 519.062 -471.315
27000 0.00269505 368.469 651.372 -448.563
27100 0.00270505 146.226 432.658 -530.339
27200 0.00271505 332.561 621.774 -486.559
27300 0.00272505 471.932 418.092 -527.233
