# Time-averaged data for fix savg
# TimeStep v_gamma c_myP[1] c_myP[2] c_myP[4]
13900 0.00138505 161.688 16.6119 -286.546
14000 0.00139505 153.808 11.2281 -288.761
14100 0.00140505 147.418 6.43135 -290.989
14200 0.00141505 141.97 2.65392 -293.207
14300 0.00142505 135.065 -1.74076 -295.431
14400 0.00143505 127.172 -6.92778 -297.649
14500 0.00144505 120.996 -11.2735 -299.869
14600 0.00145505 116.151 -15.1228 -302.072
14700 0.00146505 109.755 -20.0543 -304.265
14800 0.00147505 102.322 -25.236 -306.435
14900 0.00148505 96.466 -28.9436 -308.586
15000 0.00149505 92.07 -32.4746 -310.71
15100 0.00150505 86.3087 -37.8123 -312.803
15200 0.00151505 79.9386 -43.1529 -314.85
15300 0.00152505 74.9247 -46.2647 -316.844
15400 0.00153505 71.0251 -49.1111 -318.796
15500 0.00154505 65.8897 -54.3502 -320.69
15600 0.00155505 61.1028 -59.6549 -322.515
15700 0.00156505 57.7962 -62.2549 -324.242
15800 0.00157505 54.9259 -64.2422 -325.901
15900 0.00158505 50.5868 -68.6672 -327.477
16000 0.00159505 47.7593 -73.1698 -328.964
16100 0.00160505 47.1014 -74.9924 -330.317
16200 0.00161505 46.2947 -76.0446 -331.574
16300 0.00162505 43.4737 -78.9632 -332.731
16400 0.00163505 43.0155 -81.4292 -333.806
16500 0.00164505 45.6916 -81.5703 -334.75
16600 0.00165505 48.0628 -81.3861 -335.606
16700 0.00166505 48.0229 -82.2691 -336.384
16800 0.00167505 50.5219 -81.5295 -337.135
16900 0.00168505 56.6154 -78.7775 -337.846
17000 0.00169505 62.4405 -76.7674 -338.559
17100 0.00170505 66.0455 -75.4017 -339.305
17200 0.00171505 71.7549 -71.2967 -340.116
17300 0.00172505 80.5446 -65.186 -340.998
17400 0.00173505 88.9154 -60.8868 -341.988
17500 0.00174505 95.973 -57.423 -343.078
17600 0.00175505 104.673 -50.8344 -344.287
17700 0.00176505 115.001 -42.3654 -345.659
17800 0.00177505 124.369 -36.0982 -347.19
17900 0.00178505 133.272 -31.0686 -348.871
18000 0.00179505 143.678 -23.5061 -350.664
18100 0.00180505 154.472 -14.3998 -352.614
18200 0.00181505 163.446 -7.25897 -354.712
18300 0.00182505 172.456 -1.30483 -356.955
18400 0.00183505 183.15 6.27133 -359.274
18500 0.00184505 193.74 14.7351 -361.697
18600 0.00185505 201.974 21.7245 -364.215
18700 0.00186505 210.255 28.0832 -366.848
18800 0.00187505 220.27 35.4208 -369.53
18900 0.00188505 230.217 42.8068 -372.268
19000 0.00189505 237.813 48.9604 -375.042
19100 0.00190505 245.257 55.1773 -377.891
19200 0.00191505 254.123 62.2074 -380.769
19300 0.00192505 263.037 68.6116 -383.68
19400 0.00193505 270.061 73.6976 -386.585
19500 0.00194505 276.884 79.2925 -389.519
19600 0.00195505 284.6 85.8415 -392.464
19700 0.00196505 292.234 91.4872 -395.43
19800 0.00197505 298.57 95.6336 -398.374
19900 0.00198505 304.953 100.347 -401.306
20000 0.00199505 311.775 106.134 -404.225
20100 0.00200505 318.126 111.098 -407.155
20200 0.00201505 323.585 114.565 -410.062
20300 0.00202505 329.507 118.416 -412.935
20400 0.00203505 335.701 123.215 -415.767
20500 0.00204505 340.99 127.385 -418.592
20600 0.00205505 345.492 130.346 -421.398
20700 0.00206505 350.789 133.54 -424.164
20800 0.00207505 356.454 137.317 -426.873
20900 0.00208505 360.975 140.522 -429.547
21000 0.00209505 364.637 142.966 -432.199
21100 0.00210505 369.165 145.712 -434.814
21200 0.00211505 374.216 148.632 -437.371
21300 0.00212505 378.161 150.801 -439.869
21400 0.00213505 381.221 152.588 -442.328
21500 0.00214505 384.975 154.944 -444.75
21600 0.00215505 389.234 157.231 -447.124
21700 0.00216505 392.593 158.472 -449.432
21800 0.00217505 395.268 159.49 -451.681
21900 0.00218505 398.427 161.375 -453.884
22000 0.00219505 401.846 163.193 -456.051
22100 0.00220505 404.517 163.767 -458.163
22200 0.00221505 406.893 164.076 -460.207
22300 0.00222505 409.694 165.37 -462.188
22400 0.00223505 412.383 166.72 -464.137
22500 0.00224505 414.287 166.875 -466.051
22600 0.00225505 416.299 166.707 -467.907
22700 0.00226505 418.883 167.407 -469.695
22800 0.00227505 421.056 168.19 -471.445
22900 0.00228505 422.268 168.048 -473.172
23000 0.00229505 423.828 167.685 -474.864
23100 0.00230505 426.194 167.964 -476.504
23200 0.00231505 428.032 168.138 -478.109
23300 0.00232505 428.753 167.662 -479.695
23400 0.00233505 429.808 167.307 -481.272
23500 0.00234505 431.807 167.432 -482.831
23600 0.00235505 433.395 167.11 -484.359
23700 0.00236505 433.883 166.242 -485.871
23800 0.00237505 434.587 165.901 -487.386
23900 0.00238505 436.112 166.087 -488.93
24000 0.00239505 437.266 165.513 -490.486
24100 0.00240505 437.605 164.326 -492.038
24200 0.00241505 438.167 163.929 -493.597
24300 0.00242505 439.23 164.234 -495.206
24400 0.00243505 439.835 163.643 -496.863
24500 0.00244505 439.962 162.355 -498.554
24600 0.00245505 440.514 161.854 -500.256
24700 0.00246505 441.283 162.154 -502.007
24800 0.00247505 441.282 161.661 -503.833
24900 0.00248505 441.032 160.477 -505.725
25000 0.00249505 441.522 159.957 -507.641
25100 0.00250505 442.114 160.073 -509.6
25200 0.00251505 441.585 159.559 -511.637
25300 0.00252505 440.822 158.617 -513.763
25400 0.00253505 441.034 158.233 -515.936
25500 0.00254505 441.382 158.113 -518.145
25600 0.00255505 440.505 157.399 -520.409
25700 0.00256505 439.251 156.627 -522.76
25800 0.00257505 438.986 156.493 -525.17
25900 0.00258505 438.906 156.235 -527.619
26000 0.00259505 437.728 155.191 -530.1
26100 0.00260505 436.133 154.381 -532.632
26200 0.00261505 435.306 154.429 -535.222
