# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
100 328.481 733.863 71.9068
200 286.685 488.474 -0.0437887
300 309.573 477.804 28.6466
400 354.738 532.736 187.734
500 224.521 599.371 84.8662
600 283.058 504.828 -6.66304
700 281.714 352.655 -29.5354
800 398.182 697.845 116.815
900 284.491 527.335 11.51
1000 168.402 587.541 -4.3105
1100 208.715 315.551 -47.1379
1200 367.416 578.651 79.1116
1300 166.028 470.646 134.818
1400 114.822 648.064 86.864
1500 298.33 523.82 -42.1855
1600 320.751 546.237 67.4442
1700 186.181 319.289 146.22
1800 127.404 608.892 137.47
1900 328.238 625.418 26.2147
2000 402.302 505.644 47.5838
2100 218.292 399.26 93.1003
2200 154.556 492.094 127.782
2300 192.776 542.362 38.0212
2400 241.191 380.165 -25.8523
2500 405.925 416.823 50.9955
2600 241.527 591.844 30.1938
2700 281.395 666.155 99.7937
2800 196.261 412.876 -64.7102
2900 272.009 396.827 -25.7391
3000 260.729 499.02 -57.9854
3100 252.763 612.111 25.8405
3200 116.245 413.358 -61.8125
3300 95.4375 420.939 25.9239
3400 149.904 321.578 -15.0089
3500 90.7669 513.128 34.3093
3600 26.3799 418.997 20.1801
3700 71.864 518.137 35.2862
3800 302.986 350.641 3.2557
3900 31.1795 489.921 74.9312
4000 -43.8386 247.624 67.1019
4100 -52.5297 502.607 38.6656
4200 327.923 293.667 19.4411
4300 -3.20516 358.045 -3.58887
4400 -62.2168 296.062 74.6909
4500 -135.781 371.584 -61.7075
4600 41.1249 306.281 79.4676
4700 -196.828 79.5154 33.0974
4800 -82.4036 276.916 45.2137
4900 -65.9052 534.027 -23.113
5000 -99.9259 350.646 63.7887
5100 -201.337 23.4529 51.4037
5200 -150.705 329.096 51.8636
5300 -167.634 408.308 35.518
5400 -194 409.484 27.7452
5500 -196.529 171.698 99.1893
5600 -56.2229 309.738 129.742
5700 -112.686 305.676 98.2283
5800 -363.081 382.88 34.9512
5900 -97.6248 365.814 173.039
6000 38.3159 527.229 59.0504
6100 94.2791 467.976 147.974
6200 -247.406 502.871 30.6235
6300 44.5517 523.322 107.732
6400 -2.63466 574.882 68.6261
6500 232.58 486.91 85.8467
6600 -196.976 523.985 -47.633
6700 3.43655 641.149 14.3424
6800 44.1897 721.918 -18.5618
6900 193.321 541.163 68.3982
7000 -98.4097 601.535 -101.264
7100 72.6961 732.624 35.6846
7200 56.8149 745.803 1.93269
7300 121.903 557.273 89.5457
7400 125.95 560.135 22.7225
7500 101.216 748.167 1.02133
7600 139.289 850.429 23.3877
7700 10.9013 538.58 45.7974
7800 74.6939 574.568 99.9426
7900 101.736 748.797 -46.8155
8000 182.964 885.912 36.3387
8100 -43.2875 555.923 17.3556
8200 163.226 642.216 8.46192
8300 114.925 685.881 -49.9301
8400 59.5813 819.909 11.6724
8500 -93.7185 546.66 -10.6735
8600 94.4383 774.201 82.0273
8700 3.51783 551.925 -5.71275
8800 -156.763 526.326 45.9455
8900 -303.575 452.331 25.0703
9000 98.9637 691.721 106.196
9100 -9.23639 422.693 51.6512
9200 -121.068 397.696 4.87281
9300 -251.374 380.038 29.2391
9400 -72.0372 544.407 54.4522
9500 -138.637 379.851 158.313
9600 -103.447 405.795 77.6313
9700 -153.05 524.779 127.62
9800 -56.3748 561.241 103.27
9900 -196.886 317.42 148.307
10000 -302.779 186.203 31.8361
10100 -169.219 320.056 26.8257
10200 -187.586 511.055 23.9103
10300 -248.639 366.776 81.477
10400 -182.453 333.783 60.1974
10500 -27.8707 553.795 -33.4859
10600 -193.034 440.298 -3.93722
10700 -306.796 334.091 -47.3506
10800 -211.795 352.298 107.035
