# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
18700 218.783 -246.308 62.6057
18800 234.144 -621.746 18.5976
18900 44.6282 -566.464 63.502
19000 155.57 -287.633 -2.52232
19100 154.005 -360.475 88.4975
19200 130.328 -557.713 -2.87087
19300 209.487 -546.048 76.5381
19400 317.027 -229.733 34.9286
19500 210.756 -318.244 22.4487
19600 136.108 -550.769 -46.5805
19700 180.336 -627.418 13.7051
19800 297.562 -343.935 -60.3343
19900 58.8584 -479.762 -63.5788
20000 70.912 -460.028 -40.0097
20100 313.047 -420.822 -68.6356
20200 322.495 -281.372 -37.5791
20300 32.3241 -609.132 -4.93022
20400 -51.4924 -468.764 27.1534
20500 229.748 -481.907 -65.3049
20600 298.727 -378.013 54.9948
20700 133.776 -593.035 -10.4036
20800 22.3078 -369.392 59.7033
20900 241.399 -348.219 -11.8782
21000 56.3051 -409.967 79.063
21100 -60.3011 -705.515 78.9933
21200 34.0113 -388.291 71.9906
21300 216.778 -281.578 18.4754
21400 85.6496 -459.488 -42.9274
21500 -78.4672 -641.244 11.4756
21600 9.37973 -341.058 1.752
21700 72.0258 -366.072 65.1296
21800 1.28254 -521.155 -11.824
21900 38.738 -487.706 63.7563
22000 187.636 -476.942 63.4873
22100 -8.34097 -400.789 105.617
22200 -175.649 -592.712 37.0453
22300 -72.2998 -563.008 -11.9839
22400 179.561 -358.479 48.3467
22500 79.5361 -281.741 128.179
22600 -57.6496 -521.549 52.8786
22700 42.2261 -370.895 75.9328
22800 223.126 -363.681 61.6479
22900 74.2103 -334.197 126.967
23000 25.1358 -385.48 46.3621
23100 170.059 -220.182 0.0847962
23200 234.513 -359.162 18.7525
23300 10.0088 -510.081 21.4643
23400 -17.2096 -425.042 25.2879
23500 173.371 -266.276 -21.3657
23600 246.818 -284.418 -12.6584
23700 143.718 -446.18 28.607
23800 159.681 -265.285 55.7115
23900 244.195 -266.132 -47.8196
24000 158.779 -410.067 -62.5065
24100 108.098 -597.298 -19.2642
24200 197.813 -410.828 56.5152
24300 162.763 -277.021 19.695
24400 140.437 -406.557 -80.2834
24500 142.292 -473.641 5.77295
24600 321.123 -436.232 60.3704
24700 180.986 -378.833 51.4556
24800 64.1845 -569.597 -45.4477
24900 95.6768 -579.138 -18.4983
25000 310.973 -624.906 7.55849
25100 135.29 -481.851 106.466
25200 85.6117 -638.755 -26.7753
25300 142.801 -492.487 -4.29928
25400 236.755 -660.676 -33.1621
25500 49.2647 -786.948 120.419
25600 -56.0802 -823.339 -27.7354
25700 10.5892 -561.187 20.9781
25800 206.009 -752.445 -87.9042
25900 39.9895 -851.728 166.91
26000 40.4506 -867.067 44.2765
26100 49.5481 -697.654 73.8375
26200 64.351 -781.662 6.23505
26300 -15.5392 -943.124 128.259
26400 144.472 -894.017 183.59
26500 113.286 -665.975 100.081
26600 -38.808 -762.257 -12.7369
26700 -39.8267 -1059 56.6442
26800 123.267 -856.68 238.039
26900 147.876 -810.27 89.5445
27000 18.6879 -737.169 21.1284
27100 22.9729 -1033.82 -49.6154
27200 292.464 -729.795 93.6752
27300 201.577 -786.876 76.2582
27400 -6.33747 -772.659 -4.24082
27500 68.1689 -826.629 -58.6935
27600 185.464 -744.319 19.8098
27700 208.208 -761.559 76.3948
27800 45.4579 -756.532 3.96931
27900 247.663 -680.686 -36.6287
28000 352.341 -581.828 -4.93226
28100 232.464 -689.509 52.3624
28200 29.7902 -809.165 62.0465
28300 127.602 -673.792 -30.6738
28400 175.8 -616.025 -3.9173
28500 174.467 -740.132 28.4441
28600 99.9799 -766.316 131.098
28700 190.42 -489.039 18.5911
28800 103.376 -714.509 -14.6343
28900 21.2837 -852.857 -50.3757
29000 103.884 -830.065 69.161
29100 189.822 -495.5 51.9319
29200 53.0004 -682.807 -25.0378
29300 -3.64722 -811.44 -80.3628
29400 200.588 -781.907 17.5842
29500 94.8367 -688.34 72.8777
29600 -93.0727 -703.168 73.1506
29700 -4.60236 -800.015 7.45786
29800 211.376 -678.467 37.8428
29900 77.357 -584.394 140.811
30000 -28.2161 -800.06 108.774
30100 -95.0281 -673.865 -4.31445
30200 199.079 -709.25 94.5008
30300 60.1752 -847.628 104.905
30400 -49.8621 -866.666 130.489
30500 -55.0073 -611.214 26.9757
30600 150.917 -723.11 47.4434
30700 -30.9639 -914.778 49.9835
30800 -61.2103 -1058.95 118.663
30900 -50.2651 -720.356 27.3358
31000 -17.709 -685.944 -13.1234
31100 93.8041 -808.115 -30.9629
31200 111.029 -878.798 85.9872
31300 160.555 -655.752 80.7875
31400 21.546 -782.935 -38.5731
31500 34.0511 -878.202 -29.3165
31600 140.392 -843.882 39.8153
31700 318.522 -639.676 51.8869
31800 57.4568 -757.413 -49.5921
31900 -3.12593 -844.323 -39.5861
32000 111.323 -946.426 -10.9617
32100 172.36 -776.008 103.252
32200 -0.439825 -934.763 -14.9875
32300 130.571 -909.794 -91.3709
32400 181.851 -822.42 25.4363
32500 213.68 -833.739 92.3627
32600 -170.948 -1099.38 87.6912
32700 -61.2607 -1042.44 -57.5394
32800 98.5053 -999.193 -60.9327
32900 123.484 -1033.89 8.46176
33000 -74.7736 -1132.79 28.9425
33100 8.17944 -1048.61 -69.9247
33200 2.52009 -1094.11 -50.7017
