# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
17600 -526.598 -177.749 0.51309
17700 -526.961 -171.643 0.403124
17800 -528.176 -166.886 0.30444
17900 -529.79 -162.516 0.215094
18000 -530.937 -156.988 0.137113
18100 -532.235 -151.214 0.0687227
18200 -534.455 -146.676 0.0110017
18300 -536.659 -142.572 -0.0377771
18400 -538.241 -137.628 -0.0767791
18500 -540.25 -132.526 -0.107215
18600 -543.35 -128.37 -0.128824
18700 -546.268 -124.487 -0.142893
18800 -548.391 -120.101 -0.14953
18900 -550.97 -115.827 -0.149512
19000 -554.715 -112.257 -0.143086
19100 -558.319 -108.634 -0.131038
19200 -561.108 -104.689 -0.114077
19300 -564.253 -101.209 -0.0927576
19400 -568.438 -98.3665 -0.0676524
19500 -572.559 -95.1478 -0.0391443
19600 -576.047 -91.5926 -0.00815833
19700 -579.839 -88.7698 0.0248226
19800 -584.376 -86.6652 0.0590288
19900 -588.807 -84.021 0.0942699
20000 -592.886 -80.9331 0.129747
20100 -597.369 -78.645 0.165023
20200 -602.283 -77.1544 0.19932
20300 -606.882 -75.156 0.232405
20400 -611.35 -72.6789 0.263792
20500 -616.447 -70.9074 0.293084
20600 -621.786 -69.8721 0.319727
20700 -626.531 -68.4638 0.34331
20800 -631.207 -66.7181 0.36375
20900 -636.723 -65.5584 0.380688
21000 -642.453 -64.8973 0.394025
21100 -647.397 -63.9471 0.403163
21200 -652.207 -62.9484 0.408411
21300 -657.917 -62.529 0.409415
21400 -663.888 -62.2906 0.406681
21500 -669.059 -61.7038 0.399575
21600 -674.044 -61.3802 0.388825
21700 -679.788 -61.7622 0.373897
21800 -685.791 -62.0728 0.355558
21900 -691.131 -61.8452 0.333573
22000 -696.366 -62.0814 0.309539
22100 -702.15 -63.2034 0.282518
22200 -707.993 -64.1952 0.253425
22300 -713.354 -64.5125 0.222083
22400 -718.858 -65.2638 0.189992
22500 -724.775 -67.008 0.156848
22600 -730.436 -68.6757 0.124013
22700 -735.684 -69.7054 0.0906532
22800 -741.394 -71.1077 0.0581628
22900 -747.519 -73.4036 0.0270804
23000 -753.105 -75.653 -0.00133665
23100 -758.216 -77.4782 -0.0283535
23200 -764.008 -79.7091 -0.0526911
23300 -770.325 -82.5705 -0.0739156
23400 -776 -85.3352 -0.0913921
23500 -781.104 -87.9533 -0.105582
23600 -786.927 -91.1714 -0.11563
23700 -793.359 -94.7483 -0.121236
23800 -799.165 -97.9429 -0.122269
23900 -804.44 -101.178 -0.119066
24000 -810.326 -105.314 -0.111286
24100 -816.758 -109.763 -0.0986912
