# Time-averaged data for fix savg
# TimeStep c_myP[1] c_myP[2] c_myP[4]
100 39.5418 53.0765 3.21583
200 47.5794 49.2102 3.03043
300 54.9961 44.1854 2.83319
400 62.2642 37.8899 2.62613
500 71.2475 32.9677 2.41289
600 80.7146 29.4485 2.19815
700 88.896 25.1072 1.98329
800 96.7017 19.9462 1.77243
900 106.428 15.8506 1.56566
1000 116.449 12.4711 1.36737
1100 124.878 8.38582 1.17738
1200 132.636 4.10717 0.99908
1300 142.136 0.868626 0.831142
1400 151.898 -2.34444 0.676645
1500 160.222 -6.45551 0.534475
1600 167.779 -10.2929 0.407057
1700 176.613 -12.881 0.292645
1800 185.532 -15.8244 0.192845
1900 193.385 -19.9689 0.106211
2000 200.726 -23.7118 0.0340448
2100 208.875 -26.0217 -0.0251258
2200 216.713 -28.7093 -0.0709902
2300 223.754 -32.7293 -0.104942
2400 230.773 -36.4677 -0.12689
2500 238.371 -38.8417 -0.137785
2600 245.208 -41.4572 -0.138289
2700 251.256 -45.2299 -0.129456
2800 257.738 -48.8363 -0.112305
2900 264.832 -51.4171 -0.0873023
3000 270.899 -54.2066 -0.0557519
3100 276.005 -57.769 -0.0181796
3200 281.751 -61.0744 0.0236289
3300 288.224 -63.7803 0.0695549
3400 293.686 -66.8882 0.117945
3500 298.07 -70.4096 0.168859
3600 303.031 -73.3728 0.220253
3700 308.688 -76.0236 0.272254
3800 313.537 -79.4059 0.323109
3900 317.42 -83.0491 0.373317
4000 321.722 -85.801 0.42105
4100 326.453 -88.2939 0.466627
4200 330.543 -91.7729 0.508431
4300 334.003 -95.5647 0.547109
4400 337.841 -98.3091 0.581349
4500 341.706 -100.713 0.611617
4600 344.902 -104.128 0.636693
4700 347.855 -107.945 0.657093
4800 351.33 -110.811 0.672118
4900 354.508 -113.321 0.682294
5000 356.815 -116.659 0.68703
5100 359.114 -120.339 0.686582
5200 362.163 -123.312 0.680814
5300 364.807 -126.112 0.67018
5400 366.375 -129.52 0.654842
5500 367.959 -133.011 0.634849
5600 370.41 -135.99 0.610571
5700 372.528 -139.141 0.58227
5800 373.543 -142.818 0.55079
5900 374.495 -146.239 0.516114
6000 376.203 -149.172 0.479041
6100 377.663 -152.614 0.439576
6200 378.211 -156.678 0.398949
6300 378.691 -160.252 0.357138
6400 379.647 -163.236 0.31523
6500 380.29 -166.891 0.273004
6600 380.304 -171.322 0.231697
6700 380.422 -175.237 0.19125
6800 380.74 -178.492 0.152826
6900 380.508 -182.383 0.116109
7000 379.844 -187.085 0.0820577
7100 379.57 -191.394 0.0505231
7200 379.376 -195.144 0.022486
7300 378.35 -199.419 -0.00229631
7400 376.916 -204.341 -0.0232696
7500 376.104 -208.977 -0.0406547
7600 375.422 -213.328 -0.0538902
7700 373.751 -218.185 -0.0630419
7800 371.587 -223.394 -0.0679477
7900 370.091 -228.274 -0.0687944
8000 368.813 -233.186 -0.0655715
8100 366.588 -238.748 -0.0581629
8200 363.84 -244.401 -0.0467497
8300 361.623 -249.535 -0.0313441
8400 359.585 -254.9 -0.0124325
8500 356.751 -261.15 0.0104302
8600 353.486 -267.422 0.0370644
8700 350.618 -272.936 0.0667196
8800 347.746 -278.697 0.098065
8900 344.212 -285.484 0.132199
9000 340.583 -292.324 0.168497
9100 337.235 -298.378 0.207095
9200 333.509 -304.603 0.246868
9300 329.058 -311.843 0.28823
9400 324.798 -319.218 0.330427
9500 320.958 -325.911 0.372964
9600 316.597 -332.711 0.412892
9700 311.436 -340.249 0.451709
9800 306.633 -347.821 0.489204
9900 302.378 -355.002 0.525276
10000 297.378 -362.53 0.558749
10100 291.353 -370.602 0.589414
10200 285.753 -378.367 0.616132
10300 280.841 -385.877 0.638654
10400 275.302 -394.033 0.656319
10500 268.82 -402.595 0.669067
10600 262.64 -410.476 0.676463
10700 256.994 -418.092 0.678039
10800 250.747 -426.693 0.673654
10900 243.809 -435.776 0.663014
11000 237.168 -443.895 0.646441
11100 230.761 -451.578 0.623399
11200 223.642 -460.366 0.594435
11300 216.254 -469.723 0.559053
11400 209.375 -478.071 0.518422
11500 202.418 -485.867 0.472106
11600 194.403 -494.662 0.42142
11700 186.427 -503.96 0.36579
11800 179.323 -512.388 0.307084
11900 172.022 -520.387 0.245186
12000 163.271 -529.183 0.182211
12100 154.657 -538.123 0.117861
12200 147.22 -546.31 0.0543677
12300 139.687 -554.461 -0.00799589
12400 130.516 -563.34 -0.0667047
12500 121.427 -571.807 -0.121442
12600 113.542 -579.427 -0.170092
12700 105.691 -587.505 -0.211959
12800 96.3579 -596.487 -0.244806
12900 87.1386 -604.561 -0.267497
13000 78.8641 -611.478 -0.27858
13100 70.5227 -619.181 -0.276947
13200 61.1067 -628.095 -0.261546
13300 52.1313 -635.887 -0.230587
13400 43.7701 -642.213 -0.183886
13500 34.8909 -649.357 -0.11998
13600 25.3227 -657.864 -0.0397899
13700 16.8034 -665.319 0.0586313
13800 8.79371 -671.279 0.173612
13900 -0.379798 -677.92 0.306754
14000 -10.0907 -685.686 0.454794
14100 -18.1123 -692.501 0.619145
14200 -25.3708 -698.196 0.795943
14300 -34.2854 -704.56 0.986514
14400 -43.775 -711.437 1.18551
14500 -51.2134 -717.191 1.39321
14600 -57.4494 -722.435 1.60376
14700 -65.3952 -728.683 1.8176
14800 -73.8292 -734.747 2.02815
14900 -80.2349 -739.146 2.23423
15000 -85.1807 -743.533 2.42905
15100 -91.4557 -749.526 2.61159
15200 -97.6649 -754.904 2.77566
15300 -102.053 -757.959 2.91905
15400 -105.201 -761.148 3.03654
15500 -109.193 -766.433 3.12622
15600 -112.1 -771.064 3.18494
15700 -113.267 -773.074 3.21107
15800 -113.878 -775.122 3.20439
15900 -115.161 -779.245 3.16392
16000 -114.371 -782.858 3.09212
16100 -111.751 -784.234 2.98992
16200 -109.371 -785.669 2.86259
16300 -107.873 -788.581 2.70825
16400 -103.901 -790.942 2.53435
16500 -97.9687 -791.868 2.34345
16600 -92.819 -793.246 2.14417
16700 -88.9425 -795.487 1.93657
16800 -83.0013 -796.86 1.72831
16900 -75.2541 -797.561 1.51856
17000 -68.3892 -799.347 1.31535
17100 -62.7888 -801.584 1.1174
17200 -55.8226 -802.524 0.93098
17300 -47.6033 -803.162 0.753616
17400 -40.1992 -805.398 0.590576
17500 -33.6162 -808.048 0.439348
17600 -26.1928 -809.187 0.304042
17700 -18.2516 -810.038 0.181594
17800 -11.1711 -812.601 0.0747801
17900 -4.29793 -815.697 -0.0191645
18000 3.2816 -817.426 -0.0979408
18100 10.7571 -818.829 -0.164132
18200 17.1305 -821.678 -0.216648
18300 23.7391 -825.052 -0.257882
18400 31.1931 -827.441 -0.286995
18500 38.2423 -829.655 -0.305758
18600 43.9181 -832.909 -0.314069
18700 49.9532 -836.423 -0.313669
18800 56.979 -839.313 -0.304816
